year,ympe,type,comment
1966,5000,float,stolen from Francois' file (in srpp)
1967,5000,float,
1968,5100,float,
1969,5200,float,
1970,5300,float,
1971,5400,float,
1972,5500,float,
1973,5600,float,
1974,6600,float,
1975,7400,float,
1976,8300,float,
1977,9300,float,
1978,10400,float,
1979,11700,float,
1980,13100,float,
1981,14700,float,
1982,16500,float,
1983,18500,float,
1984,20800,float,
1985,23400,float,
1986,25800,float,
1987,25900,float,
1988,26500,float,
1989,27700,float,
1990,28900,float,
1991,30500,float,
1992,32200,float,
1993,33400,float,
1994,34400,float,
1995,34900,float,
1996,35400,float,
1997,35800,float,
1998,36900,float,
1999,37400,float,
2000,37600,float,
2001,38300,float,
2002,39100,float,
2003,39900,float,
2004,40500,float,
2005,41100,float,
2006,42100,float,
2007,43700,float,
2008,44900,float,
2009,46300,float,
2010,47200,float,
2011,48300,float,
2012,50100,float,
2013,51100,float,
2014,52500,float,
2015,53600,float,
2016,54900,float,
2017,55300,float,
2018,55900,float,
2019,57400,float,
2020,58700,float,
2021,61600,float,
2022,64900,float,
2023,66600,float,
2024,68465,float,
2025,70382,float,
