,observations,mean,std,min,median,max
cont_rate_rrsp,4453.0,0.03,0.05,0.0,0.0,1.0
cont_rate_tfsa,3991.0,0.02,0.04,0.0,0.0,0.65
cont_rate_other_reg,1212.0,0.01,0.03,0.0,0.0,0.5
cont_rate_unreg,2821.0,0.03,0.07,0.0,0.0,0.8
withdrawal_rrsp,4453.0,94.16,1349.91,0.0,0.0,50000.0
withdrawal_tfsa,3991.0,106.64,1004.38,0.0,0.0,37875.0
withdrawal_other_reg,1212.0,297.01,1674.1,0.0,0.0,24736.84
withdrawal_unreg,2821.0,272.59,1847.76,0.0,0.0,30434.78
mix_bonds,6601.0,0.12,0.2,0.0,0.0,1.0
mix_bills,6601.0,0.55,0.44,0.0,0.6,1.0
mix_equity,6601.0,0.21,0.3,0.0,0.0,1.0
fee,6601.0,0.01,0.01,0.0,0.01,0.03
fee_equity,6601.0,0.0,0.01,0.0,0.0,0.02
